Date,Subways: Total Estimated Ridership,Subways: % of Comparable Pre-Pandemic Day,Buses: Total Estimated Ridership,Buses: % of Comparable Pre-Pandemic Day,LIRR: Total Estimated Ridership,LIRR: % of Comparable Pre-Pandemic Day,Metro-North: Total Estimated Ridership,Metro-North: % of Comparable Pre-Pandemic Day,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % of Comparable Pre-Pandemic Day,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % of Comparable Pre-Pandemic Day,Staten Island Railway: Total Estimated Ridership,Staten Island Railway: % of Comparable Pre-Pandemic Day
03/15/2022,3275906,0.59,1454522,0.65,171406,0.55,146786,0.53,24272,0.82,906028,0.98,7287,0.46
03/16/2022,3332335,0.6,1476356,0.66,168768,0.54,145085,0.53,25305,0.85,914284,0.99,7009,0.44
03/17/2022,3175784,0.57,1350810,0.6,166884,0.53,135727,0.49,22946,0.77,888875,0.96,6768,0.42
03/18/2022,3275433,0.59,1402806,0.63,163169,0.52,137528,0.5,24019,0.81,978491,1.06,6288,0.39
03/19/2022,2001839,0.65,820933,0.62,74087,0.69,73974,0.54,12877,0.76,872810,1,2050,0.4
03/20/2022,1656673,0.72,628693,0.63,67551,0.78,63818,0.68,12736,0.72,879711,1.09,1722,0.55
03/21/2022,3034759,0.55,1418900,0.63,165487,0.53,134182,0.49,22229,0.75,880846,0.96,6367,0.4
03/22/2022,3276940,0.59,1471299,0.66,168328,0.54,144765,0.53,23948,0.81,891089,0.97,7082,0.44
03/23/2022,3275708,0.59,1438665,0.64,161202,0.51,138873,0.5,24574,0.83,891509,0.97,6540,0.41
03/24/2022,3212181,0.58,1373850,0.61,162392,0.52,134129,0.49,22998,0.77,900384,0.98,6513,0.41
03/25/2022,3218970,0.58,1397899,0.62,158528,0.51,133368,0.48,23274,0.78,967743,1.05,6075,0.38
03/26/2022,2024596,0.66,783499,0.59,71809,0.67,73933,0.54,13208,0.78,875353,1.01,2154,0.43
03/27/2022,1534056,0.67,628313,0.63,64950,0.75,58044,0.62,11809,0.67,830360,1.03,1602,0.51
03/28/2022,2989874,0.54,1336330,0.6,153222,0.49,130886,0.47,22114,0.74,868259,0.94,6096,0.38
03/29/2022,3291883,0.59,1430099,0.64,163218,0.52,143870,0.52,23981,0.81,886086,0.96,6900,0.43
03/30/2022,3336073,0.6,1465351,0.65,164882,0.53,143216,0.52,24620,0.83,913063,0.99,6920,0.43
03/31/2022,3323135,0.6,1450363,0.65,164074,0.52,139602,0.51,24308,0.82,941530,1.02,6890,0.43
04/01/2022,3237107,0.58,1411421,0.65,145251,0.47,120557,0.42,24017,0.83,972802,1.03,5972,0.37
04/02/2022,2128435,0.67,879513,0.66,77205,0.68,80471,0.54,14382,0.86,893814,0.98,2484,0.49
04/03/2022,1463932,0.6,607152,0.61,58819,0.64,53761,0.52,12947,0.69,790600,0.91,1419,0.43
04/04/2022,3127667,0.56,1447820,0.66,159541,0.51,135920,0.47,23746,0.82,899510,0.96,6676,0.41
04/05/2022,3356454,0.6,1484961,0.68,170140,0.55,150671,0.53,24873,0.86,904813,0.96,7089,0.44
04/06/2022,3311547,0.59,1403198,0.64,163830,0.53,142810,0.5,25103,0.87,890470,0.95,6569,0.4
04/07/2022,3307076,0.59,1379678,0.63,161276,0.52,140249,0.49,24107,0.83,901454,0.96,6636,0.41
04/08/2022,3347754,0.6,1443367,0.66,160905,0.52,140791,0.49,24488,0.85,998348,1.06,6342,0.39
04/09/2022,2190396,0.69,868945,0.65,81562,0.71,86611,0.58,13969,0.84,897690,0.98,66,0.01
04/10/2022,1707748,0.7,667662,0.67,63204,0.69,66112,0.64,13935,0.75,850153,0.98,13,0
