Date,Subways: Total Estimated Ridership,Subways: % of Comparable Pre-Pandemic Day,Buses: Total Estimated Ridership,Buses: % of Comparable Pre-Pandemic Day,LIRR: Total Estimated Ridership,LIRR: % of Comparable Pre-Pandemic Day,Metro-North: Total Estimated Ridership,Metro-North: % of Comparable Pre-Pandemic Day,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % of Comparable Pre-Pandemic Day,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % of Comparable Pre-Pandemic Day,Staten Island Railway: Total Estimated Ridership,Staten Island Railway: % of Comparable Pre-Pandemic Day
03/27/2023,3397258,0.61,1426226,0.64,192461,0.61,166543,0.6,26394,0.89,885237,0.96,6675,0.42
03/28/2023,3765920,0.68,1490842,0.67,207837,0.66,189294,0.69,28923,0.97,894984,0.97,7541,0.47
03/29/2023,3872948,0.7,1521968,0.68,208736,0.67,187520,0.68,29771,1,922903,1,7825,0.49
03/30/2023,3860289,0.69,1486845,0.66,200601,0.64,187344,0.68,29363,0.99,957635,1.04,7512,0.47
03/31/2023,3573735,0.64,1423686,0.64,184342,0.59,158879,0.58,28599,0.96,977962,1.06,6426,0.4
04/01/2023,2283533,0.72,842213,0.63,82140,0.72,88096,0.59,16428,0.98,856286,0.94,1520,0.3
04/02/2023,1949665,0.8,716880,0.72,76059,0.83,79027,0.77,17660,0.95,855422,0.99,1319,0.4
04/03/2023,3597785,0.65,1475017,0.67,182947,0.59,162370,0.57,27387,0.95,899177,0.96,7076,0.44
04/04/2023,3906882,0.7,1519740,0.7,200063,0.64,188769,0.66,29698,1.03,913561,0.97,7633,0.47
04/05/2023,3799965,0.68,1432322,0.66,205060,0.66,185283,0.65,29462,1.02,938533,1,7163,0.44
04/06/2023,3421271,0.61,1264311,0.58,193340,0.62,169192,0.59,27061,0.94,914933,0.97,6122,0.38
04/07/2023,3130675,0.56,1150222,0.53,187800,0.6,159262,0.56,23831,0.82,900772,0.96,4925,0.3
04/08/2023,2393347,0.76,882727,0.66,108740,0.95,99273,0.67,16256,0.97,872566,0.96,2393,0.47
04/09/2023,1855826,0.76,654259,0.66,98030,1.07,85620,0.83,19026,1.02,904505,1.04,1916,0.59
04/10/2023,3142740,0.56,1236634,0.57,191412,0.62,170713,0.6,24135,0.83,922582,0.98,6121,0.38
04/11/2023,3537843,0.63,1316710,0.6,210828,0.68,193831,0.68,27777,0.96,895251,0.95,7081,0.44
04/12/2023,3576687,0.64,1311418,0.6,207802,0.67,191574,0.67,28326,0.98,890891,0.95,6863,0.42
04/13/2023,3628304,0.65,1311906,0.6,200072,0.64,183658,0.64,28451,0.98,939226,1,6668,0.41
04/14/2023,3471420,0.62,1294357,0.59,190858,0.61,173790,0.61,27514,0.95,989052,1.05,5869,0.36
04/15/2023,2365464,0.75,890050,0.67,99793,0.87,103902,0.7,16804,1.01,916008,1,1743,0.34
04/16/2023,1864753,0.77,728462,0.73,80318,0.88,85026,0.83,16835,0.9,881923,1.02,1309,0.4
04/17/2023,3418834,0.61,1438043,0.66,188445,0.61,167759,0.58,27611,0.95,897271,0.95,6926,0.43
04/18/2023,3862133,0.69,1526133,0.7,207882,0.67,194548,0.68,29658,1.03,929653,0.99,7879,0.49
04/19/2023,3927706,0.7,1530452,0.7,206116,0.66,195085,0.68,30829,1.07,952981,1.01,7889,0.49
04/20/2023,4002433,0.72,1520258,0.7,208664,0.67,189699,0.66,30106,1.04,1014633,1.08,7577,0.47
04/21/2023,3492257,0.63,1310737,0.6,195442,0.63,174727,0.61,27777,0.96,994549,1.06,6005,0.37
04/22/2023,2506140,0.79,893014,0.67,106134,0.93,106032,0.71,16865,1.01,931077,1.02,1715,0.34
04/23/2023,1923243,0.79,673668,0.68,87793,0.96,79003,0.77,15947,0.85,880726,1.02,1326,0.41
04/24/2023,3561262,0.64,1466762,0.67,196593,0.63,173997,0.61,27254,0.94,911973,0.97,7020,0.43
04/25/2023,3956922,0.71,1529162,0.7,216767,0.7,192115,0.67,29504,1.02,927611,0.99,7806,0.48
04/26/2023,3994837,0.72,1531476,0.7,216097,0.7,191885,0.67,30191,1.04,947254,1.01,7758,0.48
04/27/2023,3999831,0.72,1506783,0.69,216674,0.7,184365,0.64,29969,1.04,981809,1.04,7564,0.47
04/28/2023,3703088,0.66,1424078,0.65,195436,0.63,160861,0.56,28306,0.98,996548,1.06,6441,0.4
04/29/2023,2179978,0.69,715608,0.54,85167,0.75,77009,0.52,15688,0.94,832504,0.91,1871,0.37
04/30/2023,1744098,0.72,578075,0.58,75065,0.82,65334,0.63,15451,0.83,786171,0.91,1355,0.42
05/01/2023,3664755,0.64,1465598,0.64,188566,0.59,167178,0.58,27445,0.93,922971,0.96,6960,0.4
05/02/2023,3961858,0.69,1498566,0.66,211550,0.66,197217,0.69,29472,1,916459,0.95,7749,0.45
05/03/2023,4030601,0.7,1533714,0.67,209450,0.66,195363,0.68,30850,1.05,940822,0.98,7862,0.45
05/04/2023,3985001,0.7,1497427,0.66,206323,0.65,189538,0.66,30449,1.04,966836,1,7417,0.43
05/05/2023,3759375,0.66,1450598,0.64,200675,0.63,170610,0.6,28952,0.98,1011491,1.05,6514,0.37
05/06/2023,2563102,0.8,934630,0.67,111525,0.94,103318,0.69,18349,1.06,976630,1.02,2584,0.53
05/07/2023,2033790,0.85,705419,0.73,92076,0.94,83007,0.8,17822,1.05,902067,1.06,2705,0.77
05/08/2023,3563340,0.62,1460932,0.64,198056,0.62,180789,0.63,27771,0.94,935045,0.97,7196,0.41
05/09/2023,3925555,0.69,1524892,0.67,221290,0.69,205069,0.72,29923,1.02,955033,0.99,7827,0.45
05/10/2023,4014009,0.7,1528140,0.67,221747,0.69,203414,0.71,31360,1.07,981586,1.02,7998,0.46
05/11/2023,4015942,0.7,1535264,0.67,210683,0.66,201006,0.7,30899,1.05,1016578,1.06,7619,0.44
05/12/2023,3723192,0.65,1436385,0.63,201367,0.63,185027,0.65,29397,1,1043802,1.08,6629,0.38
05/13/2023,2487178,0.77,918257,0.66,113810,0.96,109940,0.73,18340,1.06,1008311,1.05,1973,0.41
05/14/2023,1926966,0.81,690606,0.72,102178,1.05,101088,0.97,20222,1.19,981015,1.15,1654,0.47
05/15/2023,3553443,0.62,1440741,0.63,201209,0.63,184909,0.65,25892,0.88,947897,0.98,6956,0.4
05/16/2023,4002015,0.7,1519397,0.67,227489,0.71,207484,0.72,29747,1.01,965091,1,7930,0.46
05/17/2023,4104786,0.72,1518546,0.67,223059,0.7,206630,0.72,30423,1.03,985531,1.02,7118,0.41
05/18/2023,4082154,0.71,1492657,0.66,218955,0.69,198433,0.69,29842,1.01,1008886,1.05,7530,0.43
05/19/2023,3789929,0.66,1431269,0.63,208310,0.65,181114,0.63,28381,0.97,1024064,1.06,6362,0.37
05/20/2023,2314672,0.72,760830,0.55,102957,0.87,95625,0.63,16570,0.96,888784,0.93,1970,0.41
05/21/2023,2132724,0.89,727850,0.76,103484,1.06,91335,0.88,17545,1.03,959948,1.13,1919,0.55
05/22/2023,3571748,0.62,1446015,0.64,203122,0.64,186008,0.65,27038,0.92,942741,0.98,6935,0.4
05/23/2023,3929003,0.69,1500973,0.66,219619,0.69,214621,0.75,29538,1,953703,0.99,7928,0.46
05/24/2023,3960264,0.69,1499943,0.66,219886,0.69,208487,0.73,30495,1.04,983724,1.02,7667,0.44
05/25/2023,3859385,0.67,1459601,0.64,215946,0.68,201855,0.71,29311,1,1007341,1.05,7183,0.41
05/26/2023,3496511,0.61,1370252,0.6,207347,0.65,187188,0.65,27037,0.92,994185,1.03,5747,0.33
05/27/2023,2375741,0.74,848442,0.61,116439,0.98,120011,0.8,16731,0.97,925766,0.97,2913,0.6
05/28/2023,2029088,0.85,707787,0.73,102985,1.06,102009,0.98,17527,1.03,906089,1.06,2426,0.69
05/29/2023,1952779,0.82,758893,0.79,99456,1.02,86149,0.83,12121,0.71,836613,0.98,2520,0.72
05/30/2023,3714864,0.65,1438285,0.63,227623,0.71,205661,0.72,27645,0.94,959824,1,7398,0.43
05/31/2023,3911382,0.68,1480801,0.65,229227,0.72,211998,0.74,30078,1.02,971602,1.01,7691,0.44
06/01/2023,3894167,0.69,1457503,0.68,210483,0.63,191410,0.65,30088,1.03,1006107,1.02,7152,0.44
06/02/2023,3626490,0.65,1399462,0.65,202543,0.61,170399,0.58,29570,1.01,1011244,1.03,6470,0.4
06/03/2023,2411704,0.75,899212,0.64,115723,0.94,102668,0.65,18118,1.05,958346,0.97,1837,0.36
06/04/2023,1988330,0.76,714218,0.66,103120,1.05,88859,0.81,18429,1.02,931347,1.01,1573,0.4
06/05/2023,3544106,0.63,1432156,0.67,200806,0.6,183510,0.62,27920,0.95,938818,0.95,6892,0.43
06/06/2023,3929131,0.7,1474317,0.69,218376,0.66,213292,0.72,29999,1.02,945555,0.96,7795,0.48
06/07/2023,3743889,0.67,1390834,0.65,212982,0.64,202951,0.69,31147,1.06,941798,0.96,7334,0.45
06/08/2023,3268529,0.58,1216291,0.57,189487,0.57,176985,0.6,27689,0.95,932162,0.95,5503,0.34
06/09/2023,3425232,0.61,1256670,0.58,214001,0.64,185677,0.63,25845,0.88,1005974,1.02,5482,0.34
06/10/2023,2608756,0.81,892936,0.64,139304,1.13,117616,0.74,17996,1.04,991238,1.01,1978,0.39
06/11/2023,2075651,0.79,695200,0.64,106971,1.09,98115,0.9,17958,0.99,976811,1.06,1582,0.41
06/12/2023,3479404,0.62,1394575,0.65,202015,0.61,185343,0.63,27520,0.94,939370,0.96,6744,0.42
06/13/2023,3968160,0.71,1500122,0.7,233588,0.7,212364,0.72,30441,1.04,971010,0.99,7850,0.48
06/14/2023,3893073,0.69,1434687,0.67,235667,0.71,207746,0.7,30661,1.05,971437,0.99,7234,0.45
06/15/2023,3928393,0.7,1475300,0.69,228608,0.69,206188,0.7,31298,1.07,1028832,1.05,7390,0.46
06/16/2023,3395938,0.61,1300751,0.61,214883,0.65,177916,0.6,28693,0.98,1025514,1.04,5960,0.37
06/17/2023,2399521,0.74,872453,0.62,138654,1.13,111460,0.7,17967,1.04,1000053,1.02,2632,0.52
06/18/2023,1977582,0.76,707615,0.65,119996,1.22,95597,0.88,19384,1.07,971860,1.05,2029,0.52
06/19/2023,2636887,1.01,1075747,0.99,196645,2,168591,1.54,17494,0.97,964071,1.04,4094,1.05
06/20/2023,3782810,0.67,1434258,0.67,235806,0.71,224371,0.76,29482,1.01,979074,1,7540,0.47
06/21/2023,3902298,0.7,1430476,0.67,242162,0.73,221141,0.75,31019,1.06,999201,1.02,7551,0.47
06/22/2023,3782472,0.67,1367709,0.64,233588,0.7,208969,0.71,29220,1,1013372,1.03,6956,0.43
06/23/2023,3470575,0.62,1282954,0.6,222283,0.67,188373,0.64,28619,0.98,1022942,1.04,6167,0.38
06/24/2023,2467994,0.77,844674,0.6,128075,1.04,109217,0.69,16937,0.98,951605,0.97,2551,0.5
06/25/2023,2222704,0.85,689020,0.63,123527,1.25,113238,1.04,17103,0.95,948428,1.03,2248,0.58
06/26/2023,3341322,0.6,1314743,0.61,218393,0.66,185070,0.63,26823,0.92,962862,0.98,6516,0.4
06/27/2023,3744227,0.67,1391914,0.65,231738,0.7,209234,0.71,29246,1,969784,0.99,7633,0.47
06/28/2023,3634270,0.65,1305832,0.61,233457,0.7,207293,0.7,29092,0.99,988315,1.01,6762,0.42
06/29/2023,3653631,0.65,1307649,0.61,233625,0.7,200724,0.68,28876,0.99,1036568,1.05,6946,0.43
06/30/2023,3259767,0.58,1248822,0.58,219673,0.66,178064,0.6,28028,0.96,1043286,1.06,5817,0.36
07/01/2023,2239529,0.79,859295,0.64,120270,0.94,99597,0.64,17093,1.08,956890,1.03,2745,0.54
07/02/2023,1783757,0.76,668297,0.61,92780,0.89,74415,0.7,16717,1.01,832828,0.94,1988,0.56
07/03/2023,2662052,0.5,1117930,0.54,149641,0.47,128417,0.45,23795,0.84,860662,0.9,4718,0.34
07/04/2023,1791179,0.77,631937,0.58,96458,0.92,84010,0.79,13059,0.79,715453,0.81,2305,0.65
07/05/2023,3318379,0.63,1296583,0.63,211448,0.67,189434,0.67,28774,1.01,963342,1,6472,0.47
07/06/2023,3494806,0.66,1333630,0.64,209335,0.66,186822,0.66,29894,1.05,959636,1,6608,0.48
07/07/2023,3292266,0.62,1273900,0.61,197892,0.62,171597,0.61,28609,1.01,977009,1.02,5868,0.43
07/08/2023,2308794,0.82,867047,0.64,120931,0.95,107854,0.7,17879,1.13,949008,1.03,2695,0.53
07/09/2023,1776607,0.76,651953,0.59,95243,0.91,83783,0.79,16695,1.01,869686,0.98,1914,0.54
07/10/2023,3208730,0.61,1307297,0.63,196506,0.62,171497,0.61,27354,0.96,925569,0.96,6175,0.45
07/11/2023,3613670,0.68,1381701,0.67,221923,0.7,200151,0.71,30085,1.06,952112,0.99,7149,0.52
07/12/2023,3696737,0.7,1383484,0.67,218097,0.69,199169,0.7,31015,1.09,977898,1.02,6901,0.5
07/13/2023,3648007,0.69,1359302,0.66,218715,0.69,190952,0.67,29980,1.06,990761,1.03,6888,0.5
07/14/2023,3209393,0.61,1231624,0.59,198119,0.63,163840,0.58,28489,1,986748,1.03,5588,0.41
07/15/2023,2326054,0.82,889709,0.66,124007,0.97,107124,0.69,18043,1.14,983132,1.06,2409,0.47
07/16/2023,1599858,0.68,583645,0.53,89763,0.86,72406,0.68,16496,1,817659,0.92,1559,0.44
07/17/2023,3282092,0.62,1310810,0.63,205378,0.65,182216,0.64,27637,0.97,964710,1,6345,0.46
07/18/2023,3584819,0.68,1313665,0.63,225299,0.71,204203,0.72,29105,1.03,944208,0.98,6766,0.49
07/19/2023,3679343,0.7,1342781,0.65,224202,0.71,203857,0.72,30527,1.08,969944,1.01,6938,0.5
07/20/2023,3711017,0.7,1333607,0.64,224327,0.71,197400,0.7,29745,1.05,1004167,1.04,6858,0.5
07/21/2023,3227154,0.61,1211839,0.58,201177,0.64,176892,0.62,27485,0.97,1000836,1.04,5389,0.39
07/22/2023,2459990,0.87,894490,0.66,133328,1.04,93215,0.6,18283,1.15,1005606,1.09,2117,0.42
07/23/2023,1984503,0.85,723774,0.66,116485,1.11,94729,0.89,18021,1.09,988636,1.12,1511,0.42
07/24/2023,3255379,0.62,1302964,0.63,206025,0.65,180716,0.64,27222,0.96,948855,0.99,6175,0.45
07/25/2023,3630414,0.69,1307716,0.63,226651,0.72,211053,0.75,29285,1.03,939926,0.98,7050,0.51
07/26/2023,3758378,0.71,1382345,0.67,226363,0.71,210315,0.74,30501,1.08,977673,1.02,7298,0.53
07/27/2023,3580012,0.68,1313385,0.63,219460,0.69,187729,0.66,28692,1.01,973315,1.01,6788,0.49
07/28/2023,3266199,0.62,1246295,0.6,205845,0.65,170128,0.6,27522,0.97,1023958,1.07,5631,0.41
07/29/2023,2251524,0.8,856921,0.63,120457,0.94,100508,0.65,16747,1.05,957063,1.04,2314,0.45
07/30/2023,1952433,0.83,705279,0.64,116784,1.11,91861,0.87,17450,1.06,989071,1.12,2077,0.58
07/31/2023,3204920,0.61,1283835,0.62,205976,0.65,185348,0.65,26682,0.94,969712,1.01,6161,0.45
08/01/2023,3598379,0.7,1357252,0.67,221518,0.71,199547,0.73,29354,1.05,954649,0.98,7060,0.53
08/02/2023,3640307,0.71,1359233,0.67,219641,0.7,201003,0.74,30380,1.09,964978,0.99,6913,0.52
08/03/2023,3609076,0.7,1350472,0.67,220565,0.71,197044,0.72,30483,1.09,994978,1.02,6753,0.5
08/04/2023,3228510,0.63,1241122,0.61,193528,0.62,171533,0.63,28128,1.01,987994,1.02,5593,0.42
08/05/2023,2364364,0.8,879423,0.64,122596,0.92,114660,0.76,18835,1.13,969702,1.01,2838,0.6
08/06/2023,1910841,0.8,715130,0.65,107399,1.03,96010,0.92,18805,1.05,956499,1.04,2171,0.6
08/07/2023,3041001,0.59,1208443,0.6,191530,0.61,163799,0.6,27174,0.97,901342,0.93,5884,0.44
08/08/2023,3510047,0.68,1339073,0.66,218555,0.7,193867,0.71,29435,1.05,933802,0.96,7035,0.53
08/09/2023,3613062,0.7,1369095,0.68,224241,0.72,192028,0.7,30849,1.1,960119,0.99,6858,0.51
08/10/2023,3429304,0.67,1262073,0.63,208782,0.67,178768,0.66,29758,1.07,956875,0.98,6333,0.47
08/11/2023,3311714,0.64,1275618,0.63,206947,0.66,171116,0.63,29109,1.04,1018825,1.05,6119,0.46
08/12/2023,2366787,0.81,844749,0.61,131586,0.99,109269,0.72,18390,1.11,970527,1.01,2835,0.6
08/13/2023,1953558,0.82,690541,0.62,112932,1.09,93730,0.9,18071,1.01,965362,1.05,2196,0.61
08/14/2023,3092801,0.6,1246445,0.62,201352,0.64,168873,0.62,27185,0.97,939920,0.97,6051,0.45
08/15/2023,3385996,0.66,1273782,0.63,212116,0.68,187441,0.69,29122,1.04,924053,0.95,6680,0.5
08/16/2023,3447648,0.67,1300953,0.64,217398,0.7,190267,0.7,30763,1.1,956351,0.98,6652,0.5
08/17/2023,3385056,0.66,1275993,0.63,212321,0.68,180631,0.66,30045,1.08,975018,1,6360,0.48
08/18/2023,3182516,0.62,1208502,0.6,208639,0.67,174410,0.64,27468,0.98,999976,1.03,5361,0.4
08/19/2023,2358962,0.8,856814,0.62,144076,1.08,124069,0.82,19246,1.16,983353,1.03,2665,0.57
08/20/2023,1870625,0.79,689829,0.62,101351,0.97,94332,0.91,18004,1,958807,1.04,2065,0.58
08/21/2023,2971166,0.58,1199440,0.59,198534,0.63,170102,0.62,26325,0.94,929844,0.96,5857,0.44
08/22/2023,3352769,0.65,1263459,0.63,213724,0.68,194321,0.71,28913,1.04,928605,0.96,6463,0.48
08/23/2023,3412842,0.66,1272485,0.63,215258,0.69,192053,0.7,30187,1.08,954470,0.98,6566,0.49
08/24/2023,3297927,0.64,1201155,0.6,204439,0.65,176827,0.65,28689,1.03,958830,0.99,6191,0.46
08/25/2023,3034255,0.59,1143010,0.57,191119,0.61,153854,0.56,26511,0.95,953126,0.98,4891,0.37
08/26/2023,2281885,0.78,844428,0.61,122930,0.92,100194,0.66,18024,1.08,954892,1,2700,0.57
08/27/2023,1909806,0.8,702984,0.64,106913,1.03,85878,0.83,18022,1,943519,1.03,2088,0.58
08/28/2023,3121505,0.61,1240688,0.61,215843,0.69,170897,0.63,26613,0.95,932328,0.96,6179,0.46
08/29/2023,3401088,0.66,1284953,0.64,235092,0.75,189077,0.69,28250,1.01,930248,0.96,6677,0.5
08/30/2023,3462970,0.67,1267435,0.63,230912,0.74,180304,0.66,29450,1.05,959898,0.99,6639,0.5
08/31/2023,3450532,0.67,1315113,0.65,229477,0.73,176676,0.65,29312,1.05,1017088,1.05,6537,0.49
09/01/2023,3196284,0.55,1225370,0.53,202450,0.62,152974,0.53,28920,0.97,1025352,1.08,5372,0.31
09/02/2023,2307416,0.72,842591,0.6,132551,1.12,107230,0.7,18536,1.08,939962,0.98,2633,0.64
09/03/2023,2013506,0.79,692079,0.63,119566,1.21,90729,0.86,19598,1.14,939811,1.06,2185,0.75
09/04/2023,1879819,0.74,686326,0.62,114475,1.15,87538,0.83,12292,0.72,856049,0.97,2188,0.75
09/05/2023,3483755,0.6,1349438,0.58,239334,0.73,218899,0.76,29869,1.01,969997,1.02,6739,0.39
09/06/2023,3712071,0.64,1395521,0.6,238477,0.73,211126,0.73,32290,1.09,963978,1.01,6909,0.4
09/07/2023,3867746,0.67,1441437,0.62,226937,0.69,206910,0.72,31704,1.07,981360,1.03,7044,0.41
09/08/2023,3609701,0.63,1365283,0.59,225125,0.69,183785,0.64,30083,1.01,1015782,1.07,6257,0.37
09/09/2023,2425515,0.75,840378,0.6,125177,1.06,102373,0.67,17897,1.04,953082,1,2575,0.62
09/10/2023,1822230,0.72,626222,0.57,96835,0.98,81850,0.78,17916,1.04,870988,0.98,1623,0.55
09/11/2023,3596538,0.62,1400268,0.6,213280,0.65,191592,0.66,29057,0.98,911493,0.96,7182,0.42
09/12/2023,4014480,0.7,1519571,0.65,241196,0.74,221092,0.77,31779,1.07,955533,1,8031,0.47
09/13/2023,3938516,0.68,1482320,0.64,229765,0.7,210001,0.73,31900,1.07,936338,0.98,7787,0.46
09/14/2023,4045169,0.7,1517040,0.65,232039,0.71,206374,0.72,32717,1.1,989072,1.04,7847,0.46
09/15/2023,3694845,0.64,1398937,0.6,225904,0.69,192398,0.67,30957,1.04,1022344,1.07,6429,0.38
09/16/2023,2446139,0.76,881354,0.63,117997,1,115065,0.75,18923,1.1,972924,1.02,2864,0.69
09/17/2023,1988003,0.78,666392,0.6,107302,1.08,96229,0.92,18330,1.07,902993,1.02,2197,0.75
09/18/2023,3539047,0.61,1294777,0.56,215151,0.66,192103,0.67,28341,0.95,876621,0.92,7010,0.41
09/19/2023,4140301,0.72,1480863,0.64,241135,0.74,224426,0.78,31109,1.05,934708,0.98,8652,0.51
09/20/2023,4179861,0.72,1478618,0.64,242203,0.74,219540,0.76,32181,1.08,958671,1.01,8671,0.51
09/21/2023,4139288,0.72,1478606,0.64,232409,0.71,211375,0.73,31455,1.06,978561,1.03,8554,0.5
09/22/2023,3840412,0.67,1403811,0.6,223821,0.68,194197,0.67,30086,1.01,1020253,1.07,7175,0.42
09/23/2023,2116140,0.66,682092,0.49,96073,0.81,86985,0.57,15680,0.92,803480,0.84,2012,0.49
09/24/2023,1701656,0.67,562224,0.51,83669,0.84,75103,0.71,15255,0.89,742634,0.84,1863,0.64
09/25/2023,2885921,0.5,1035021,0.45,194611,0.59,175651,0.61,24609,0.83,812779,0.85,5320,0.31
09/26/2023,3946624,0.68,1393963,0.6,235620,0.72,214987,0.75,30558,1.03,909652,0.95,7655,0.45
09/27/2023,4074930,0.71,1463309,0.63,232823,0.71,212978,0.74,32758,1.1,943929,0.99,7877,0.46
09/28/2023,4051444,0.7,1433729,0.62,227819,0.7,201304,0.7,31804,1.07,965165,1.01,7587,0.44
09/29/2023,2467295,0.43,1053306,0.45,188008,0.57,128570,0.45,29054,0.98,826445,0.87,5183,0.3
09/30/2023,2205573,0.68,789587,0.56,104842,0.89,100703,0.66,16536,0.97,864863,0.91,1936,0.47
10/01/2023,1995361,0.81,669243,0.67,94222,1.03,92724,0.88,18586,1.01,898064,1.06,1984,0.53
10/02/2023,3649389,0.63,1390842,0.62,208901,0.66,183892,0.63,28672,0.96,931216,1,7289,0.41
10/03/2023,4008201,0.7,1471939,0.65,235305,0.75,214111,0.74,32295,1.08,937269,1.01,7953,0.45
10/04/2023,4026878,0.7,1467384,0.65,231999,0.74,209399,0.72,33186,1.11,949285,1.02,7928,0.44
10/05/2023,4030304,0.7,1457151,0.65,233470,0.74,207356,0.71,32414,1.09,973371,1.05,7814,0.44
10/06/2023,3639729,0.63,1325428,0.59,225040,0.72,193065,0.66,30643,1.03,1000568,1.08,6284,0.35
10/07/2023,2199478,0.66,720734,0.52,105975,0.93,95026,0.62,16919,0.96,842763,0.89,2010,0.44
10/08/2023,2044534,0.83,654443,0.65,98315,1.08,105952,1.01,18471,1.01,896319,1.06,2722,0.72
10/09/2023,2833654,0.49,1023375,0.45,206491,0.66,189567,0.65,21655,0.73,905490,0.98,4576,0.26
10/10/2023,3954925,0.69,1423532,0.63,239967,0.76,220445,0.76,31970,1.07,935467,1.01,8356,0.47
10/11/2023,4056504,0.71,1451764,0.64,236033,0.75,214437,0.74,33382,1.12,950384,1.02,8630,0.48
10/12/2023,4104598,0.71,1436967,0.64,248974,0.79,215284,0.74,32865,1.1,988904,1.07,8255,0.46
10/13/2023,3560964,0.62,1322576,0.59,226873,0.72,193658,0.67,31134,1.05,1002148,1.08,6429,0.36
10/14/2023,2219786,0.67,717223,0.52,110177,0.97,96158,0.63,17155,0.97,873287,0.92,2298,0.5
10/15/2023,2013096,0.82,689581,0.69,102493,1.13,100633,0.96,18455,1,911179,1.08,2148,0.57
10/16/2023,3661144,0.64,1381665,0.61,228147,0.73,203627,0.7,29453,0.99,925864,1,7735,0.43
10/17/2023,4021342,0.7,1439468,0.64,243917,0.78,222110,0.76,31921,1.07,944335,1.02,8354,0.47
10/18/2023,4074460,0.71,1440292,0.64,236072,0.75,213952,0.74,33615,1.13,948559,1.02,8356,0.47
10/19/2023,4121563,0.72,1440111,0.64,234999,0.75,212946,0.73,32909,1.11,986310,1.06,8148,0.46
10/20/2023,3616336,0.63,1232782,0.55,222385,0.71,192383,0.66,29766,1,961759,1.04,6272,0.35
10/21/2023,2438387,0.73,793917,0.57,113139,1,101963,0.67,17530,0.99,907106,0.96,2464,0.54
10/22/2023,1983271,0.81,678536,0.68,98471,1.08,93659,0.89,18954,1.03,928307,1.1,2021,0.54
10/23/2023,3667240,0.64,1375311,0.61,221569,0.7,199199,0.68,29261,0.98,925334,1,7615,0.43
10/24/2023,4040571,0.7,1431006,0.63,241544,0.77,218201,0.75,31757,1.07,932897,1.01,8176,0.46
10/25/2023,4120011,0.72,1443766,0.64,237292,0.75,217420,0.75,32821,1.1,947018,1.02,8368,0.47
10/26/2023,4142420,0.72,1431016,0.63,242021,0.77,215171,0.74,32549,1.09,985290,1.06,8147,0.46
10/27/2023,3853546,0.67,1348576,0.6,229895,0.73,203068,0.7,31164,1.05,1027312,1.11,6705,0.38
10/28/2023,2743759,0.82,874941,0.63,124172,1.09,139276,0.91,20126,1.14,1019478,1.08,2995,0.66
10/29/2023,1834459,0.75,589929,0.59,86843,0.95,80705,0.77,18145,0.99,871500,1.03,1766,0.47
10/30/2023,3623778,0.63,1314380,0.58,225140,0.72,197550,0.68,29075,0.98,893690,0.96,7287,0.41
10/31/2023,4016482,0.7,1334020,0.59,224816,0.72,203951,0.7,30712,1.03,873724,0.94,7789,0.44
11/01/2023,4043524,0.72,1369637,0.63,226067,0.69,208249,0.73,32374,1.04,927384,0.98,8010,0.47
11/02/2023,4082807,0.72,1380510,0.63,231370,0.7,206350,0.72,32242,1.03,953269,1.01,7997,0.47
11/03/2023,3808235,0.68,1307247,0.6,218703,0.67,193580,0.68,31816,1.02,980512,1.04,6755,0.4
11/04/2023,2588115,0.82,832986,0.63,122433,1.06,123922,0.82,19920,1.18,945189,1.04,2582,0.74
11/05/2023,2310457,0.92,614666,0.62,109258,1.16,109891,1.06,16889,0.9,791269,0.96,3407,1.11
11/06/2023,3686141,0.65,1349481,0.62,225898,0.69,198934,0.7,30167,0.97,923453,0.98,7474,0.44
11/07/2023,3655078,0.65,1270763,0.58,238656,0.73,215344,0.75,30843,0.99,891546,0.94,6785,0.4
11/08/2023,4066029,0.72,1401268,0.64,238727,0.73,213738,0.75,33515,1.07,937630,0.99,8306,0.49
11/09/2023,4020939,0.71,1376822,0.63,235844,0.72,210130,0.73,32982,1.06,980310,1.04,7929,0.47
11/10/2023,3611367,1.43,1250528,1.26,224512,2.37,200669,1.93,25506,1.35,974996,1.18,5596,1.82
11/11/2023,2588540,0.82,817146,0.62,122170,1.06,118398,0.78,18654,1.1,939492,1.03,2712,0.78
11/12/2023,1947270,0.77,642431,0.64,99171,1.05,91623,0.88,19187,1.02,891716,1.08,1958,0.64
11/13/2023,3597029,0.64,1320693,0.6,225204,0.69,194691,0.68,30479,0.98,907109,0.96,7353,0.43
11/14/2023,3991767,0.71,1382768,0.63,235487,0.72,214218,0.75,33027,1.06,921728,0.98,8271,0.49
11/15/2023,4036442,0.72,1389217,0.63,235718,0.72,214486,0.75,34166,1.09,941983,1,8322,0.49
11/16/2023,4048862,0.72,1391273,0.64,235070,0.72,207671,0.73,34102,1.09,978274,1.04,8010,0.47
11/17/2023,3741391,0.66,1303240,0.6,227909,0.69,201231,0.7,31496,1.01,999520,1.06,6792,0.4
11/18/2023,2477547,0.78,831053,0.63,124053,1.08,120273,0.8,19452,1.15,946515,1.04,2630,0.76
11/19/2023,1943926,0.77,657965,0.66,100792,1.07,100924,0.97,19835,1.05,867625,1.05,2058,0.67
